company_name,slope_diff,city,county,state,pct_lead,winner,sector,sub_industry
3M Company,-0.0021,Saint Paul,Washington,Minnesota,0.1676,Clinton,Industrials,Industrial Conglomerates
AES Corp,-0.0209,Arlington,Arlington,Virginia,0.601,Clinton,Utilities,Independent Power Producers & Energy Traders
AFLAC Inc,-0.0026,Columbus,Muscogee,Georgia,0.186,Clinton,Financials,Life & Health Insurance
AT&T Inc,-0.0052,Dallas,Dallas,Texas,0.1075,Clinton,Telecommunications Services,Integrated Telecommunications Services
AbbVie,-0.0073,North Chicago,Lake,Illinois,0.203,Clinton,Health Care,Pharmaceuticals
Abbott Laboratories,-0.0091,North Chicago,Lake,Illinois,0.203,Clinton,Health Care,Health Care Equipment
Activision Blizzard,0.0033,Santa Monica,Los Angeles,California,0.4805,Clinton,Information Technology,Home Entertainment Software
Acuity Brands Inc,-0.0006,Atlanta,Fulton,Georgia,0.1495,Clinton,Industrials,Electrical Components & Equipment
Adobe Systems Inc,-0.0094,San Jose,Santa Clara,California,0.5238,Clinton,Information Technology,Application Software
Advance Auto Parts,0.0157,Roanoke,Roanoke (city),Virginia,0.1763,Clinton,Consumer Discretionary,Automotive Retail
Aetna Inc,-0.0016,Hartford,Hartford,Connecticut,0.2151,Clinton,Health Care,Managed Health Care
Affiliated Managers Group Inc,0.0005,Beverly,Essex,Massachusetts,0.2141,Clinton,Financials,Asset Management & Custody Banks
Agilent Technologies Inc,-0.0129,Santa Clara,Santa Clara,California,0.5238,Clinton,Health Care,Health Care Equipment
Air Products & Chemicals Inc,-0.0048,Allentown,Lehigh,Pennsylvania,0.0444,Clinton,Materials,Industrial Gases
Akamai Technologies Inc,-0.0009,Cambridge,Middlesex,Massachusetts,0.0513,Clinton,Information Technology,Internet Software & Services
Alaska Air Group Inc,0.0048,Seattle,King,Washington,0.5052,Clinton,Industrials,Airlines
Albemarle Corp,-0.0072,Baton Rouge,East Baton Rouge Parish,Louisiana,0.0921,Clinton,Materials,Specialty Chemicals
Alexion Pharmaceuticals,-0.0026,Cheshire,New Haven,Connecticut,0.1203,Clinton,Health Care,Biotechnology
Alliant Energy Corp,-0.0087,Madison,Dane,Wisconsin,0.4799,Clinton,Utilities,Electric Utilities
Alphabet Inc Class A,-0.012,Mountain View,Santa Clara,California,0.5238,Clinton,Information Technology,Internet Software & Services
Alphabet Inc Class C,-0.0115,Mountain View,Santa Clara,California,0.5238,Clinton,Information Technology,Internet Software & Services
Altria Group Inc,-0.006,Richmond,Henrico,Virginia,0.2096,Clinton,Consumer Staples,Tobacco
Amazon.com Inc,-0.0111,Seattle,King,Washington,0.5052,Clinton,Consumer Discretionary,Internet & Direct Marketing Retail
American Electric Power,-0.0058,Columbus,Franklin,Ohio,0.1909,Clinton,Utilities,Electric Utilities
American Express Co,0.004,New York,Rockland,New York,0.0509,Clinton,Financials,Consumer Finance
American International Group Inc.,0.0092,New York,Rockland,New York,0.0509,Clinton,Financials,Property & Casualty Insurance
American Tower Corp A,-0.0126,Boston,Suffolk,Massachusetts,0.2699,Clinton,Real Estate,Specialized REITs
American Water Works Company Inc,0.0,Voorhees,Camden,New Jersey,0.1079,Clinton,Utilities,Water Utilities
Ameriprise Financial,0.0091,Minneapolis,Hennepin,Minnesota,0.3531,Clinton,Financials,Asset Management & Custody Banks
Ametek,-0.0012,Berwyn,Chester,Pennsylvania,0.2633,Clinton,Industrials,Electrical Components & Equipment
Amgen Inc,-0.0032,Thousand Oaks,Ventura,California,0.1609,Clinton,Health Care,Biotechnology
Amphenol Corp A,-0.0046,Wallingford,New Haven,Connecticut,0.1203,Clinton,Industrials,Electrical Components & Equipment
Analog Devices Inc.,0.0053,Norwood,Norfolk,Massachusetts,0.2794,Clinton,Information Technology,Semiconductors
Anthem Inc.,0.006,Indianapolis,Marion,Indiana,0.2737,Clinton,Health Care,Managed Health Care
Apache Corporation,0.012,Houston,Harris,Texas,0.1857,Clinton,Energy,Oil & Gas Exploration & Production
Apartment Investment & Mgmt,-0.0097,Denver,Jefferson,Colorado,0.0523,Clinton,Real Estate,REITs
Apple Inc.,-0.0046,Cupertino,Santa Clara,California,0.5238,Clinton,Information Technology,Computer Hardware
Applied Materials Inc,-0.0017,Santa Clara,Santa Clara,California,0.5238,Clinton,Information Technology,Semiconductor Equipment
Archer-Daniels-Midland Co,-0.0132,Decatur,Macon,Illinois,0.0085,Clinton,Consumer Staples,Agricultural Products
Arconic Inc,0.0193,New York,Rockland,New York,0.0509,Clinton,Industrials,Aerospace & Defense
