company_name,symbol,slope_diff,city,county,state,pct_lead,winner,sector,sub_industry
3M Company,MMM,-0.0021,Saint Paul,Washington,Minnesota,0.1676,Clinton,Industrials,Industrial Conglomerates
AES Corp,AES,-0.0209,Arlington,Arlington,Virginia,0.601,Clinton,Utilities,Independent Power Producers & Energy Traders
AFLAC Inc,AFL,-0.0026,Columbus,Muscogee,Georgia,0.186,Clinton,Financials,Life & Health Insurance
AT&T Inc,T,-0.0052,Dallas,Dallas,Texas,0.1075,Clinton,Telecommunications Services,Integrated Telecommunications Services
AbbVie,ABBV,-0.0073,North Chicago,Lake,Illinois,0.203,Clinton,Health Care,Pharmaceuticals
Abbott Laboratories,ABT,-0.0091,North Chicago,Lake,Illinois,0.203,Clinton,Health Care,Health Care Equipment
Activision Blizzard,ATVI,0.0033,Santa Monica,Los Angeles,California,0.4805,Clinton,Information Technology,Home Entertainment Software
Acuity Brands Inc,AYI,-0.0006,Atlanta,Fulton,Georgia,0.1495,Clinton,Industrials,Electrical Components & Equipment
Adobe Systems Inc,ADBE,-0.0094,San Jose,Santa Clara,California,0.5238,Clinton,Information Technology,Application Software
Advance Auto Parts,AAP,0.0157,Roanoke,Roanoke (city),Virginia,0.1763,Clinton,Consumer Discretionary,Automotive Retail
Aetna Inc,AET,-0.0016,Hartford,Hartford,Connecticut,0.2151,Clinton,Health Care,Managed Health Care
Affiliated Managers Group Inc,AMG,0.0005,Beverly,Essex,Massachusetts,0.2141,Clinton,Financials,Asset Management & Custody Banks
Agilent Technologies Inc,A,-0.0129,Santa Clara,Santa Clara,California,0.5238,Clinton,Health Care,Health Care Equipment
Air Products & Chemicals Inc,APD,-0.0048,Allentown,Lehigh,Pennsylvania,0.0444,Clinton,Materials,Industrial Gases
Akamai Technologies Inc,AKAM,-0.0009,Cambridge,Middlesex,Massachusetts,0.0513,Clinton,Information Technology,Internet Software & Services
Alaska Air Group Inc,ALK,0.0048,Seattle,King,Washington,0.5052,Clinton,Industrials,Airlines
Albemarle Corp,ALB,-0.0072,Baton Rouge,East Baton Rouge Parish,Louisiana,0.0921,Clinton,Materials,Specialty Chemicals
Alexion Pharmaceuticals,ALXN,-0.0026,Cheshire,New Haven,Connecticut,0.1203,Clinton,Health Care,Biotechnology
Alliance Data Systems,ADS,0.0003,Plano,Collin,Texas,0.1698,Trump,Information Technology,Data Processing & Outsourced Services
Alliant Energy Corp,LNT,-0.0087,Madison,Dane,Wisconsin,0.4799,Clinton,Utilities,Electric Utilities
Alphabet Inc Class A,GOOGL,-0.012,Mountain View,Santa Clara,California,0.5238,Clinton,Information Technology,Internet Software & Services
Alphabet Inc Class C,GOOG,-0.0115,Mountain View,Santa Clara,California,0.5238,Clinton,Information Technology,Internet Software & Services
Altria Group Inc,MO,-0.006,Richmond,Henrico,Virginia,0.2096,Clinton,Consumer Staples,Tobacco
Amazon.com Inc,AMZN,-0.0111,Seattle,King,Washington,0.5052,Clinton,Consumer Discretionary,Internet & Direct Marketing Retail
American Airlines Group,AAL,-0.0004,Fort Worth,Tarrant,Texas,0.087,Trump,Industrials,Airlines
American Electric Power,AEP,-0.0058,Columbus,Franklin,Ohio,0.1909,Clinton,Utilities,Electric Utilities
American Express Co,AXP,0.004,New York,Rockland,New York,0.0509,Clinton,Financials,Consumer Finance
American International Group Inc.,AIG,0.0092,New York,Rockland,New York,0.0509,Clinton,Financials,Property & Casualty Insurance
American Tower Corp A,AMT,-0.0126,Boston,Suffolk,Massachusetts,0.2699,Clinton,Real Estate,Specialized REITs
American Water Works Company Inc,AWK,0.0,Voorhees,Camden,New Jersey,0.1079,Clinton,Utilities,Water Utilities
Ameriprise Financial,AMP,0.0091,Minneapolis,Hennepin,Minnesota,0.3531,Clinton,Financials,Asset Management & Custody Banks
Ametek,AME,-0.0012,Berwyn,Chester,Pennsylvania,0.2633,Clinton,Industrials,Electrical Components & Equipment
Amgen Inc,AMGN,-0.0032,Thousand Oaks,Ventura,California,0.1609,Clinton,Health Care,Biotechnology
Amphenol Corp A,APH,-0.0046,Wallingford,New Haven,Connecticut,0.1203,Clinton,Industrials,Electrical Components & Equipment
Analog Devices Inc.,ADI,0.0053,Norwood,Norfolk,Massachusetts,0.2794,Clinton,Information Technology,Semiconductors
Anthem Inc.,ANTM,0.006,Indianapolis,Marion,Indiana,0.2737,Clinton,Health Care,Managed Health Care
Apache Corporation,APA,0.012,Houston,Harris,Texas,0.1857,Clinton,Energy,Oil & Gas Exploration & Production
Apartment Investment & Mgmt,AIV,-0.0097,Denver,Jefferson,Colorado,0.0523,Clinton,Real Estate,REITs
Apple Inc.,AAPL,-0.0046,Cupertino,Santa Clara,California,0.5238,Clinton,Information Technology,Computer Hardware
Applied Materials Inc,AMAT,-0.0017,Santa Clara,Santa Clara,California,0.5238,Clinton,Information Technology,Semiconductor Equipment
Archer-Daniels-Midland Co,ADM,-0.0132,Decatur,Macon,Illinois,0.0085,Clinton,Consumer Staples,Agricultural Products
Arconic Inc,ARNC,0.0193,New York,Rockland,New York,0.0509,Clinton,Industrials,Aerospace & Defense
Arthur J. Gallagher & Co.,AJG,-0.0002,Itasca,DuPage,Illinois,0.1408,Clinton,Financials,Insurance Brokers
Assurant Inc,AIZ,0.0055,New York,Rockland,New York,0.0509,Clinton,Financials,Multi-line Insurance
AutoNation Inc,AN,0.0173,Fort Lauderdale,Broward,Florida,0.3505,Clinton,Consumer Discretionary,Specialty Stores
AutoZone Inc,AZO,0.001,Memphis,Shelby,Tennessee,0.1678,Clinton,Consumer Discretionary,Specialty Stores
Autodesk Inc,ADSK,-0.0062,San Rafael,Marin,California,0.6276,Clinton,Information Technology,Application Software
Automatic Data Processing,ADP,-0.0001,Roseland,Essex,New Jersey,0.2141,Clinton,Information Technology,Internet Software & Services
AvalonBay Communities Inc.,AVB,-0.0032,Arlington,Arlington,Virginia,0.601,Clinton,Real Estate,Residential REITs
Avery Dennison Corp,AVY,-0.0047,Glendale,Los Angeles,California,0.4805,Clinton,Materials,Paper Packaging
BB&T Corporation,BBT,0.0069,Winston Salem,Forsyth,North Carolina,0.1812,Clinton,Financials,Banks
BIOGEN IDEC Inc.,BIIB,-0.0107,Weston,Middlesex,Massachusetts,0.0513,Clinton,Health Care,Biotechnology
Baker Hughes Inc,BHI,-0.0102,Houston,Harris,Texas,0.1857,Clinton,Energy,Oil & Gas Equipment & Services
Ball Corp,BLL,-0.0068,Broomfield,Jefferson,Colorado,0.0523,Clinton,Materials,Metal & Glass Containers
Bank of America Corp,BAC,0.0122,Charlotte,Robeson,North Carolina,0.0486,Trump,Financials,Banks
Baxter International Inc.,BAX,-0.0098,Deerfield,Lake,Illinois,0.203,Clinton,Health Care,Health Care Equipment
Becton Dickinson,BDX,-0.0213,Franklin Lakes,Bergen,New Jersey,0.1199,Clinton,Health Care,Health Care Equipment
Bed Bath & Beyond,BBBY,0.0123,Union,Union,New Jersey,0.1553,Clinton,Consumer Discretionary,Specialty Stores
Berkshire Hathaway,BRK-B,0.0012,Omaha,Sarpy,Nebraska,0.2178,Trump,Financials,Multi-Sector Holdings
BlackRock,BLK,-0.0056,New York,Rockland,New York,0.0509,Clinton,Financials,Asset Management & Custody Banks
Block H&R,HRB,0.0188,Kansas City,Platte,Missouri,0.3679,Trump,Financials,Consumer Finance
Boeing Company,BA,0.0014,Chicago,Cook,Illinois,0.0523,Clinton,Industrials,Aerospace & Defense
BorgWarner,BWA,-0.0042,Auburn Hills,Oakland,Michigan,0.0812,Clinton,Consumer Discretionary,Auto Parts & Equipment
Boston Properties,BXP,0.0025,Boston,Suffolk,Massachusetts,0.2699,Clinton,Real Estate,REITs
Boston Scientific,BSX,-0.0122,Marlborough,Middlesex,Massachusetts,0.0513,Clinton,Health Care,Health Care Equipment
Bristol-Myers Squibb,BMY,-0.0074,New York,Rockland,New York,0.0509,Clinton,Health Care,Health Care Distributors
Broadcom,AVGO,-0.0109,San Jose,Santa Clara,California,0.5238,Clinton,Information Technology,Semiconductors
Brown-Forman Corporation,BF-B,-0.0039,Louisville,Jefferson,Kentucky,0.0523,Clinton,Consumer Staples,Distillers & Vintners
C. H. Robinson Worldwide,CHRW,0.0007,Eden Prairie,Hennepin,Minnesota,0.3531,Clinton,Industrials,Air Freight & Logistics
CA Inc.,CA,-0.0058,Islandia,Suffolk,New York,0.2699,Clinton,Information Technology,Systems Software
CBRE Group,CBG,-0.001,Los Angeles,Los Angeles,California,0.4805,Clinton,Real Estate,Real Estate Services
CBS Corp.,CBS,-0.0025,New York,Rockland,New York,0.0509,Clinton,Consumer Discretionary,Broadcasting & Cable TV
CF Industries Holdings Inc,CF,0.0089,Deerfield,Lake,Illinois,0.203,Clinton,Materials,Fertilizers & Agricultural Chemicals
CIGNA Corp.,CI,-0.0117,Philadelphia,Philadelphia,Pennsylvania,0.6691,Clinton,Health Care,Managed Health Care
CME Group Inc.,CME,-0.0023,Chicago,Cook,Illinois,0.0523,Clinton,Financials,Financial Exchanges & Data
CMS Energy,CMS,-0.0047,Jackson,Jackson,Michigan,0.3321,Clinton,Utilities,MultiUtilities
CSRA Inc.,CSRA,0.0152,Falls Church,Falls Church (city),Virginia,0.5852,Clinton,Information Technology,IT Consulting & Other Services
CSX Corp.,CSX,-0.003,Jacksonville,Duval,Florida,0.1792,Clinton,Industrials,Railroads
CVS Health,CVS,0.0091,Woonsocket,Providence,Rhode Island,0.2117,Clinton,Consumer Staples,Drug Retail
Cabot Oil & Gas,COG,0.0003,Houston,Harris,Texas,0.1857,Clinton,Energy,Oil & Gas Exploration & Production
Campbell Soup,CPB,-0.0054,Camden,Camden,New Jersey,0.1079,Clinton,Consumer Staples,Packaged Foods & Meats
Cardinal Health Inc.,CAH,0.0091,Dublin,Franklin,Ohio,0.1909,Clinton,Health Care,Health Care Distributors
Carmax Inc,KMX,0.0142,Richmond,Henrico,Virginia,0.2096,Clinton,Consumer Discretionary,Specialty Stores
Carnival Corp.,CCL,0.0006,Miami,Putnam,Florida,0.4336,Trump,Consumer Discretionary,Hotels / Resorts & Cruise Lines
Caterpillar Inc.,CAT,-0.0018,Peoria,Peoria,Illinois,0.0276,Clinton,Industrials,Construction & Farm Machinery & Heavy Trucks
Celgene Corp.,CELG,-0.0077,Summit,Union,New Jersey,0.1553,Clinton,Health Care,Biotechnology
CenterPoint Energy,CNP,-0.0115,Houston,Harris,Texas,0.1857,Clinton,Utilities,MultiUtilities
CenturyLink Inc,CTL,0.0027,Monroe,Ouachita Parish,Louisiana,0.2543,Trump,Telecommunications Services,Integrated Telecommunications Services
Charles Schwab Corporation,SCHW,0.0081,San Francisco,San Mateo,California,0.5721,Clinton,Financials,Investment Banking & Brokerage
Charter Communications,CHTR,-0.0119,Stamford,Fairfield,Connecticut,0.0045,Clinton,Consumer Discretionary,Cable & Satellite
Chesapeake Energy,CHK,0.0005,Oklahoma City,Oklahoma,Oklahoma,0.1051,Trump,Energy,Integrated Oil & Gas
Chevron Corp.,CVX,-0.0023,San Ramon,Contra Costa,California,0.4291,Clinton,Energy,Integrated Oil & Gas
Chipotle Mexican Grill,CMG,0.0094,Denver,Jefferson,Colorado,0.0523,Clinton,Consumer Discretionary,Restaurants
Cimarex Energy,XEC,0.009,Denver,Jefferson,Colorado,0.0523,Clinton,Energy,Oil & Gas Exploration & Production
Cincinnati Financial,CINF,0.0033,Fairfield,Butler,Ohio,0.3662,Trump,Financials,Property & Casualty Insurance
Cintas Corporation,CTAS,-0.0016,Mason,Warren,Ohio,0.0803,Clinton,Industrials,Diversified Support Services
Cisco Systems,CSCO,-0.0011,San Jose,Santa Clara,California,0.5238,Clinton,Information Technology,Networking Equipment
Citigroup Inc.,C,0.0042,New York,Rockland,New York,0.0509,Clinton,Financials,Banks
Citizens Financial Group,CFG,0.0075,Providence,Providence,Rhode Island,0.2117,Clinton,Financials,Banks
Citrix Systems,CTXS,-0.0059,Fort Lauderdale,Broward,Florida,0.3505,Clinton,Information Technology,Internet Software & Services
Coach Inc.,COH,0.0023,New York,Rockland,New York,0.0509,Clinton,Consumer Discretionary,Apparel / Accessories & Luxury Goods
Coca Cola Company,KO,-0.0047,Atlanta,Fulton,Georgia,0.1495,Clinton,Consumer Staples,Soft Drinks
Cognizant Technology Solutions,CTSH,-0.0082,Teaneck,Bergen,New Jersey,0.1199,Clinton,Information Technology,IT Consulting & Other Services
Colgate-Palmolive,CL,-0.0072,New York,Rockland,New York,0.0509,Clinton,Consumer Staples,Household Products
Comcast A Corp,CMCSA,0.0067,Philadelphia,Philadelphia,Pennsylvania,0.6691,Clinton,Consumer Discretionary,Cable & Satellite
Comerica Inc.,CMA,0.009,Dallas,Dallas,Texas,0.1075,Clinton,Financials,Regional Banks
