county,st,trump_pct,clinton_pct,pct_lead,winner
District of Columbia,DC,0.0412,0.9285,0.8873,Clinton
Prince George's,MD,0.0834,0.8933,0.8099,Clinton
Bronx,NY,0.0959,0.8873,0.7914,Clinton
New York,NY,0.0997,0.8717,0.772,Clinton
Petersburg (city),VA,0.1056,0.8752,0.7696,Clinton
San Francisco,CA,0.0987,0.853,0.7543,Clinton
Baltimore (city),MD,0.1087,0.8544,0.7457,Clinton
Charlottesville (city),VA,0.1329,0.8043,0.6714,Clinton
Philadelphia,PA,0.155,0.8241,0.6691,Clinton
Orleans Parish,LA,0.1465,0.8081,0.6616,Clinton
Alameda,CA,0.1508,0.7951,0.6443,Clinton
Richmond city,VA,0.1505,0.788,0.6375,Clinton
St. Louis (city),MO,0.1592,0.7966,0.6374,Clinton
Marin,CA,0.1613,0.7889,0.6276,Clinton
Durham,NC,0.1852,0.789,0.6038,Clinton
Starr,TX,0.1897,0.7909,0.6012,Clinton
Arlington,VA,0.1689,0.7699,0.601,Clinton
Alexandria city,VA,0.178,0.7683,0.5903,Clinton
Falls Church (city),VA,0.1726,0.7578,0.5852,Clinton
Multnomah,OR,0.1762,0.7596,0.5834,Clinton
Zavala,TX,0.2041,0.7767,0.5726,Clinton
San Mateo,CA,0.191,0.7631,0.5721,Clinton
Jim Hogg,TX,0.2029,0.7716,0.5687,Clinton
Noxubee,MS,0.2133,0.7819,0.5686,Clinton
Denver,CO,0.1879,0.7517,0.5638,Clinton
Maverick,TX,0.2072,0.7652,0.558,Clinton
Allendale,SC,0.2202,0.7608,0.5406,Clinton
Queens,NY,0.221,0.755,0.534,Clinton
Santa Clara,CA,0.21,0.7338,0.5238,Clinton
Taos,NM,0.1792,0.6985,0.5193,Clinton
Hudson,NJ,0.2265,0.7446,0.5181,Clinton
Webb,TX,0.2277,0.7438,0.5161,Clinton
Dukes,MA,0.2164,0.7292,0.5128,Clinton
Santa Cruz,CA,0.2445,0.754,0.5095,Clinton
Bullock,AL,0.2423,0.7509,0.5086,Clinton
Santa Fe,NM,0.2017,0.7098,0.5081,Clinton
King,WA,0.2172,0.7224,0.5052,Clinton
Tunica,MS,0.2426,0.7442,0.5016,Clinton
Boulder,CO,0.2193,0.7057,0.4864,Clinton
Los Angeles,CA,0.2345,0.715,0.4805,Clinton
Dane,WI,0.2339,0.7138,0.4799,Clinton
Sonoma,CA,0.2281,0.7072,0.4791,Clinton
Chittenden,VT,0.2368,0.7049,0.4681,Clinton
Pitkin,CO,0.2428,0.6969,0.4541,Clinton
San Miguel,CO,0.2389,0.6866,0.4477,Clinton
Coahoma,MS,0.2722,0.7157,0.4435,Clinton
Hinds,MS,0.2722,0.7093,0.4371,Clinton
Williamsburg (city),VA,0.255,0.6901,0.4351,Clinton
Contra Costa,CA,0.2586,0.6877,0.4291,Clinton
Tompkins,NY,0.2556,0.677,0.4214,Clinton
Yolo,CA,0.2603,0.6807,0.4204,Clinton
Norfolk (city),VA,0.2644,0.6842,0.4198,Clinton
Imperial,CA,0.2688,0.6871,0.4183,Clinton
Washtenaw,MI,0.2689,0.6839,0.415,Clinton
Berkshire,MA,0.2604,0.675,0.4146,Clinton
Leflore,MS,0.2882,0.698,0.4098,Clinton
Sunflower,MS,0.2943,0.6974,0.4031,Clinton
Rio Arriba,NM,0.2422,0.6444,0.4022,Clinton
McKinley,NM,0.2335,0.628,0.3945,Clinton
Monterey,CA,0.2763,0.6687,0.3924,Clinton
Quitman,MS,0.2976,0.6868,0.3892,Clinton
Travis,TX,0.274,0.6626,0.3886,Clinton
Grant,NM,0.8772,0.4897,0.3875,Clinton
Maui,HI,0.2588,0.6445,0.3857,Clinton
Dougherty,GA,0.3015,0.6846,0.3831,Clinton
Clinton,NY,0.8544,0.4738,0.3806,Clinton
Hampton (city),VA,0.2895,0.6673,0.3778,Clinton
Hertford,NC,0.305,0.6818,0.3768,Clinton
Gadsden,FL,0.3044,0.6791,0.3747,Clinton
Milwaukee,WI,0.2899,0.6644,0.3745,Clinton
Scott,IA,0.8485,0.4748,0.3737,Clinton
Dimmit,TX,0.302,0.6738,0.3718,Clinton
Orangeburg,SC,0.3067,0.6763,0.3696,Clinton
Willacy,TX,0.3032,0.6722,0.369,Clinton
Apache,AZ,0.2848,0.6536,0.3688,Clinton
Hawaii,HI,0.2698,0.6361,0.3663,Clinton
Presidio,TX,0.296,0.6618,0.3658,Clinton
Portsmouth (city),VA,0.297,0.6619,0.3649,Clinton
Pierce,WA,0.8635,0.4989,0.3646,Clinton
Fairfax,VA,0.2908,0.653,0.3622,Clinton
Mora,NM,0.272,0.6298,0.3578,Clinton
Hennepin,MN,0.2851,0.6382,0.3531,Clinton
Napa,CA,0.296,0.6486,0.3526,Clinton
Nantucket,MA,0.2954,0.6471,0.3517,Clinton
Broward,FL,0.3142,0.6647,0.3505,Clinton
Cuyahoga,OH,0.3084,0.6584,0.35,Clinton
Sharkey,MS,0.3214,0.6698,0.3484,Clinton
Russell,AL,0.8396,0.5005,0.3391,Clinton
Williamsburg,SC,0.3231,0.6611,0.338,Clinton
Kauai,HI,0.2876,0.6249,0.3373,Clinton
Addison,VT,0.3011,0.6376,0.3365,Clinton
Green,WI,0.8198,0.4854,0.3344,Clinton
Jackson,MO,0.8889,0.5568,0.3321,Clinton
Zapata,TX,0.328,0.656,0.328,Clinton
Westchester,NY,0.3214,0.6491,0.3277,Clinton
St. Clair,IL,0.8324,0.5049,0.3275,Clinton
Bolivar,MS,0.3313,0.6554,0.3241,Clinton
Edgecombe,NC,0.3334,0.6552,0.3218,Clinton
Hamilton,OH,0.8468,0.5255,0.3213,Clinton
Windsor,VT,0.3091,0.6304,0.3213,Clinton
Lamoille,VT,0.3067,0.622,0.3153,Clinton
Emporia (city),VA,0.3346,0.6468,0.3122,Clinton
Fairfax (city),VA,0.3117,0.6211,0.3094,Clinton
Boone,MO,0.8019,0.493,0.3089,Clinton
Big Horn,MT,0.8007,0.4945,0.3062,Clinton
Fayette,KY,0.8181,0.5122,0.3059,Clinton
Lexington (city),VA,0.3129,0.6185,0.3056,Clinton
Charles,MD,0.3334,0.6355,0.3021,Clinton
Hood River,OR,0.3104,0.6124,0.302,Clinton
Clay,MS,0.8733,0.5718,0.3015,Clinton
Honolulu,HI,0.3161,0.6148,0.2987,Clinton
Glacier,MT,0.3202,0.6163,0.2961,Clinton
New Castle,DE,0.327,0.623,0.296,Clinton
Solano,CA,0.3232,0.619,0.2958,Clinton
Miami-Dade,FL,0.3409,0.6366,0.2957,Clinton
Lincoln,OR,0.8072,0.5118,0.2954,Clinton
Marshall,MS,0.8356,0.5405,0.2951,Clinton
Mendocino,CA,0.3123,0.6038,0.2915,Clinton
Wyandotte,KS,0.327,0.6182,0.2912,Clinton
Costilla,CO,0.3192,0.6093,0.2901,Clinton
Crittenden,AR,0.815,0.5265,0.2885,Clinton
Manassas Park (city),VA,0.3322,0.6172,0.285,Clinton
Knox,ME,0.8229,0.5404,0.2825,Clinton
Santa Barbara,CA,0.3285,0.611,0.2825,Clinton
Polk,IA,0.8041,0.5239,0.2802,Clinton
Norfolk,MA,0.3331,0.6125,0.2794,Clinton
Linn,IA,0.7892,0.51,0.2792,Clinton
Baldwin,GA,0.7735,0.4955,0.278,Clinton
Ingham,MI,0.3323,0.6088,0.2765,Clinton
Gallatin,MT,0.7321,0.4563,0.2758,Clinton
Newton,GA,0.7751,0.501,0.2741,Clinton
Marion,SC,0.8731,0.5994,0.2737,Clinton
Bamberg,SC,0.3546,0.6273,0.2727,Clinton
Franklin (city),VA,0.3517,0.6228,0.2711,Clinton
Suffolk,MA,0.5248,0.7947,0.2699,Clinton
Wilson,NC,0.7889,0.5194,0.2695,Clinton
