county,state,pct_lead,winner,latitude,longitude
abbeville,south carolina,0.2826,Trump,34.3344,-82.4002
accomack,virginia,0.1171,Trump,38.0064,-75.4029
ada,idaho,0.0924,Trump,43.7318,-116.2797
adair,oklahoma,0.4615,Trump,36.1152,-94.6345
adams,wisconsin,0.1968,Clinton,44.0529,-89.8962
addison,vermont,0.3365,Clinton,44.2515,-73.2033
aiken,south carolina,0.2749,Trump,33.6993,-81.6465
aitkin,minnesota,0.2593,Trump,46.9968,-93.5994
alachua,florida,0.2252,Clinton,29.8433,-82.4048
alamance,north carolina,0.1294,Trump,36.1855,-79.5055
alameda,california,0.6443,Clinton,37.8927,-122.2761
alamosa,colorado,0.0198,Clinton,37.7232,-105.8712
albany,wyoming,0.1322,Clinton,42.2035,-105.678
albemarle,virginia,0.2506,Clinton,38.1944,-78.5849
alcona,michigan,0.3996,Trump,44.8224,-83.5044
alcorn,mississippi,0.6179,Trump,34.9205,-88.5218
alexander,north carolina,0.3201,Trump,35.9504,-81.0487
alfalfa,oklahoma,0.7602,Trump,36.9412,-98.2458
alger,michigan,0.2043,Trump,46.6529,-85.9836
allamakee,iowa,0.2433,Trump,43.4899,-91.2942
allegan,michigan,0.288,Trump,42.737,-85.6635
allegany,new york,0.4588,Trump,42.4777,-78.1403
alleghany,virginia,0.4304,Trump,37.8203,-79.8054
allegheny,pennsylvania,0.1641,Clinton,40.6534,-80.0795
allen,ohio,0.4204,Trump,40.879,-83.8914
allendale,south carolina,0.5406,Clinton,33.1093,-81.5003
alpena,michigan,0.2869,Trump,45.079,-83.4602
amador,california,0.2636,Trump,38.6707,-120.1135
amelia,virginia,0.3631,Trump,37.345,-77.9449
amherst,virginia,0.3071,Trump,37.6027,-79.0506
amite,mississippi,0.2266,Trump,31.3672,-90.6752
anderson,texas,0.4765,Trump,32.0535,-95.5163
andrew,missouri,0.5055,Trump,40.1007,-94.8847
andrews,texas,0.6271,Trump,32.3201,-102.5409
androscoggin,maine,0.0942,Trump,44.4325,-70.1427
angelina,texas,0.4729,Trump,31.4291,-94.8254
anne arundel,maryland,0.0065,Clinton,39.2259,-76.6153
anoka,minnesota,0.097,Trump,45.3903,-93.3598
anson,north carolina,0.1256,Clinton,35.1046,-80.1092
antelope,nebraska,0.7255,Trump,42.3648,-98.1235
antrim,michigan,0.2963,Trump,45.1599,-85.2633
apache,arizona,0.3688,Clinton,36.7797,-109.359
appanoose,iowa,0.3639,Trump,40.8825,-92.8534
appling,georgia,0.5794,Trump,31.7837,-82.3486
appomattox,virginia,0.4641,Trump,37.3643,-78.9059
