county,fips,st,trump_pct,clinton_pct,pct_lead,winner
NA,WY,WY,0.7005,0.2249,0.4756,Trump
NA,WV,WV,0.6865,0.2647,0.4218,Trump
NA,WI,WI,0.4787,0.4694,0.0093,Trump
NA,WA,WA,0.3774,0.5509,0.1735,Clinton
NA,VT,VT,0.3262,0.6114,0.2852,Clinton
NA,VA,VA,0.4503,0.4986,0.0483,Clinton
NA,UT,UT,0.4657,0.2783,0.1874,Trump
NA,US,US,0.473,0.4779,0.0049,Trump
NA,TX,TX,0.5258,0.4344,0.0914,Trump
NA,TN,TN,0.6107,0.349,0.2617,Trump
NA,SD,SD,0.6153,0.3174,0.2979,Trump
NA,SC,SC,0.5486,0.4075,0.1411,Trump
NA,RI,RI,0.398,0.5544,0.1564,Clinton
NA,PA,PA,0.4879,0.4765,0.0114,Trump
NA,OR,OR,0.4105,0.5168,0.1063,Clinton
NA,OK,OK,0.6533,0.2893,0.364,Trump
NA,OH,OH,0.5205,0.4351,0.0854,Trump
NA,NY,NY,0.3748,0.5881,0.2133,Clinton
NA,NV,NV,0.4553,0.4789,0.0236,Clinton
NA,NM,NM,0.4004,0.4826,0.0822,Clinton
NA,NJ,NJ,0.4178,0.5502,0.1324,Clinton
NA,NH,NH,0.4726,0.476,0.0034,Clinton
NA,NE,NE,0.603,0.3399,0.2631,Trump
NA,ND,ND,0.6414,0.2776,0.3638,Trump
NA,NC,NC,0.5054,0.467,0.0384,Trump
NA,MT,MT,0.5651,0.3598,0.2053,Trump
NA,MS,MS,0.5834,0.3973,0.1861,Trump
NA,MO,MO,0.5714,0.3801,0.1913,Trump
NA,MN,MN,0.4536,0.4686,0.015,Clinton
NA,MI,MI,0.4759,0.4734,0.0025,Trump
NA,ME,ME,0.4515,0.4786,0.0271,Clinton
NA,MD,MD,0.3531,0.6053,0.2522,Clinton
NA,MA,MA,0.3352,0.608,0.2728,Clinton
NA,LA,LA,0.5809,0.3844,0.1965,Trump
NA,KY,KY,0.6254,0.3269,0.2985,Trump
NA,KS,KS,0.5719,0.3616,0.2103,Trump
NA,IN,IN,0.5717,0.3791,0.1926,Trump
NA,IL,IL,0.3941,0.554,0.1599,Clinton
NA,ID,ID,0.5917,0.2756,0.3161,Trump
NA,IA,IA,0.5178,0.4218,0.096,Trump
NA,HI,HI,0.3004,0.6222,0.3218,Clinton
NA,GA,GA,0.5134,0.456,0.0574,Trump
NA,FL,FL,0.4906,0.4779,0.0127,Trump
NA,DE,DE,0.4192,0.5336,0.1144,Clinton
NA,DC,DC,0.0412,0.9285,0.8873,Clinton
NA,CT,CT,0.4116,0.5448,0.1332,Clinton
NA,CO,CO,0.4436,0.4727,0.0291,Clinton
NA,CA,CA,0.3306,0.6158,0.2852,Clinton
NA,AZ,AZ,0.495,0.4539,0.0411,Trump
NA,AR,AR,0.6044,0.3376,0.2668,Trump
NA,AL,AL,0.6289,0.3455,0.2834,Trump
NA,AK,AK,0.5289,0.3772,0.1517,Trump
Weston,56045,WY,0.8692,0.0882,0.781,Trump
Washakie,56043,WY,0.7836,0.1432,0.6404,Trump
Uinta,56041,WY,0.7642,0.1493,0.6149,Trump
Teton,56039,WY,0.3219,0.6006,0.2787,Clinton
Sweetwater,56037,WY,0.7294,0.194,0.5354,Trump
Sublette,56035,WY,0.7933,0.1499,0.6434,Trump
Sheridan,56033,WY,0.7236,0.2062,0.5174,Trump
Platte,56031,WY,0.7706,0.1612,0.6094,Trump
Park,56029,WY,0.7595,0.1732,0.5863,Trump
Natrona,56025,WY,0.7239,0.2023,0.5216,Trump
Lincoln,56023,WY,0.8072,0.1316,0.6756,Trump
Laramie,56021,WY,0.622,0.2897,0.3323,Trump
Johnson,56019,WY,0.7995,0.1467,0.6528,Trump
Hot Springs,56017,WY,0.7649,0.1578,0.6071,Trump
Goshen,56015,WY,0.774,0.1619,0.6121,Trump
Fremont,56013,WY,0.675,0.2539,0.4211,Trump
Crook,56011,WY,0.8876,0.0719,0.8157,Trump
Converse,56009,WY,0.8425,0.102,0.7405,Trump
Carbon,56007,WY,0.7111,0.2063,0.5048,Trump
Campbell,56005,WY,0.8797,0.0738,0.8059,Trump
Big Horn,56003,WY,0.8007,0.117,0.6837,Trump
Albany,56001,WY,0.4629,0.4195,0.0434,Trump
Wood,55141,WI,0.5702,0.3774,0.1928,Trump
Winnebago,55139,WI,0.5058,0.4314,0.0744,Trump
Waushara,55137,WI,0.6412,0.3179,0.3233,Trump
Waupaca,55135,WI,0.6282,0.3257,0.3025,Trump
Waukesha,55133,WI,0.6159,0.3352,0.2807,Trump
Washington,55131,WI,0.6784,0.2735,0.4049,Trump
Washburn,55129,WI,0.5965,0.3624,0.2341,Trump
Walworth,55127,WI,0.5705,0.3699,0.2006,Trump
Vilas,55125,WI,0.6072,0.3545,0.2527,Trump
Vernon,55123,WI,0.4928,0.4475,0.0453,Trump
Trempealeau,55121,WI,0.5427,0.4157,0.127,Trump
Taylor,55119,WI,0.6997,0.2546,0.4451,Trump
Sheboygan,55117,WI,0.5553,0.3883,0.167,Trump
Shawano,55115,WI,0.6469,0.3075,0.3394,Trump
Sawyer,55113,WI,0.5955,0.3664,0.2291,Trump
Sauk,55111,WI,0.4689,0.4742,0.0053,Clinton
St. Croix,55109,WI,0.558,0.3737,0.1843,Trump
Rusk,55107,WI,0.6493,0.3089,0.3404,Trump
Rock,55105,WI,0.4195,0.5242,0.1047,Clinton
Richland,55103,WI,0.505,0.4493,0.0557,Trump
Racine,55101,WI,0.4977,0.4537,0.044,Trump
Price,55099,WI,0.6034,0.3533,0.2501,Trump
Portage,55097,WI,0.4541,0.4859,0.0318,Clinton
Polk,55095,WI,0.611,0.3335,0.2775,Trump
Pierce,55093,WI,0.5339,0.3974,0.1365,Trump
Pepin,55091,WI,0.5948,0.359,0.2358,Trump
Ozaukee,55089,WI,0.5707,0.3779,0.1928,Trump
Outagamie,55087,WI,0.542,0.4005,0.1415,Trump
Oneida,55085,WI,0.5604,0.3889,0.1715,Trump
Oconto,55083,WI,0.6653,0.2954,0.3699,Trump
Monroe,55081,WI,0.5851,0.3604,0.2247,Trump
Milwaukee,55079,WI,0.2899,0.6644,0.3745,Clinton
Marquette,55077,WI,0.6031,0.3594,0.2437,Trump
Marinette,55075,WI,0.6504,0.3125,0.3379,Trump
Marathon,55073,WI,0.5666,0.3846,0.182,Trump
Manitowoc,55071,WI,0.581,0.3642,0.2168,Trump
Lincoln,55069,WI,0.5768,0.3687,0.2081,Trump
Langlade,55067,WI,0.6377,0.323,0.3147,Trump
Lafayette,55065,WI,0.5232,0.4325,0.0907,Trump
La Crosse,55063,WI,0.4202,0.5161,0.0959,Clinton
Kewaunee,55061,WI,0.6159,0.3373,0.2786,Trump
Kenosha,55059,WI,0.4751,0.4717,0.0034,Trump
Juneau,55057,WI,0.6125,0.3494,0.2631,Trump
Jefferson,55055,WI,0.5531,0.3912,0.1619,Trump
Jackson,55053,WI,0.5333,0.4152,0.1181,Trump
Iron,55051,WI,0.6011,0.3661,0.235,Trump
Iowa,55049,WI,0.3967,0.5501,0.1534,Clinton
Green Lake,55047,WI,0.6667,0.2899,0.3768,Trump
Green,55045,WI,0.4626,0.4854,0.0228,Clinton
Grant,55043,WI,0.5134,0.4177,0.0957,Trump
Forest,55041,WI,0.6184,0.3512,0.2672,Trump
Fond du Lac,55039,WI,0.6076,0.3404,0.2672,Trump
Florence,55037,WI,0.7156,0.2512,0.4644,Trump
Eau Claire,55035,WI,0.4309,0.5043,0.0734,Clinton
Dunn,55033,WI,0.5214,0.4097,0.1117,Trump
Douglas,55031,WI,0.4353,0.5112,0.0759,Clinton
Door,55029,WI,0.4934,0.4613,0.0321,Trump
Dodge,55027,WI,0.6222,0.3262,0.296,Trump
Dane,55025,WI,0.2339,0.7138,0.4799,Clinton
Crawford,55023,WI,0.5007,0.4462,0.0545,Trump
Columbia,55021,WI,0.4835,0.4618,0.0217,Trump
Clark,55019,WI,0.6381,0.3119,0.3262,Trump
Chippewa,55017,WI,0.5692,0.3773,0.1919,Trump
Calumet,55015,WI,0.5806,0.3645,0.2161,Trump
Burnett,55013,WI,0.6207,0.3381,0.2826,Trump
Buffalo,55011,WI,0.585,0.3657,0.2193,Trump
Brown,55009,WI,0.527,0.4185,0.1085,Trump
Bayfield,55007,WI,0.4346,0.5219,0.0873,Clinton
Barron,55005,WI,0.6038,0.35,0.2538,Trump
Ashland,55003,WI,0.4325,0.5218,0.0893,Clinton
Adams,55001,WI,0.592,0.374,0.218,Trump
Wyoming,54109,WV,0.8358,0.1359,0.6999,Trump
Wood,54107,WV,0.7139,0.2362,0.4777,Trump
Wirt,54105,WV,0.7896,0.1589,0.6307,Trump
Wetzel,54103,WV,0.7206,0.2177,0.5029,Trump
Webster,54101,WV,0.7729,0.1875,0.5854,Trump
Wayne,54099,WV,0.7345,0.2211,0.5134,Trump
Upshur,54097,WV,0.7594,0.192,0.5674,Trump
Tyler,54095,WV,0.8194,0.1395,0.6799,Trump
Tucker,54093,WV,0.7382,0.2165,0.5217,Trump
Taylor,54091,WV,0.7235,0.2282,0.4953,Trump
Summers,54089,WV,0.7105,0.2447,0.4658,Trump
Roane,54087,WV,0.7207,0.2331,0.4876,Trump
Ritchie,54085,WV,0.8356,0.1213,0.7143,Trump
Randolph,54083,WV,0.7011,0.2518,0.4493,Trump
Raleigh,54081,WV,0.7449,0.2171,0.5278,Trump
Putnam,54079,WV,0.7141,0.2366,0.4775,Trump
Preston,54077,WV,0.7534,0.1952,0.5582,Trump
Pocahontas,54075,WV,0.6836,0.2553,0.4283,Trump
Pleasants,54073,WV,0.7482,0.1981,0.5501,Trump
Pendleton,54071,WV,0.7435,0.226,0.5175,Trump
Ohio,54069,WV,0.6216,0.306,0.3156,Trump
Nicholas,54067,WV,0.7639,0.194,0.5699,Trump
Morgan,54065,WV,0.7489,0.2054,0.5435,Trump
Monroe,54063,WV,0.7649,0.1921,0.5728,Trump
Monongalia,54061,WV,0.5115,0.4077,0.1038,Trump
Mingo,54059,WV,0.8318,0.1442,0.6876,Trump
Mineral,54057,WV,0.785,0.177,0.608,Trump
Mercer,54055,WV,0.7575,0.2046,0.5529,Trump
Mason,54053,WV,0.7511,0.2045,0.5466,Trump
Marshall,54051,WV,0.7311,0.2212,0.5099,Trump
Marion,54049,WV,0.6369,0.3023,0.3346,Trump
McDowell,54047,WV,0.7467,0.2313,0.5154,Trump
Logan,54045,WV,0.8011,0.1691,0.632,Trump
Lincoln,54043,WV,0.7523,0.2054,0.5469,Trump
Lewis,54041,WV,0.7618,0.194,0.5678,Trump
Kanawha,54039,WV,0.5796,0.3732,0.2064,Trump
Jefferson,54037,WV,0.5475,0.394,0.1535,Trump
Jackson,54035,WV,0.7399,0.2187,0.5212,Trump
Harrison,54033,WV,0.6706,0.2754,0.3952,Trump
Hardy,54031,WV,0.7546,0.2074,0.5472,Trump
Hancock,54029,WV,0.7016,0.2568,0.4448,Trump
Hampshire,54027,WV,0.7767,0.1842,0.5925,Trump
Greenbrier,54025,WV,0.6793,0.2677,0.4116,Trump
Grant,54023,WV,0.8772,0.1031,0.7741,Trump
Gilmer,54021,WV,0.7472,0.2124,0.5348,Trump
Fayette,54019,WV,0.6758,0.2796,0.3962,Trump
